Date,temperature,humidity
2022-07-10 00:00,26.4,64
2022-07-10 00:15,26.3,64
2022-07-10 00:30,26.3,64
2022-07-10 00:45,26.1,65
2022-07-10 01:00,26.0,65
2022-07-10 01:15,25.9,66
2022-07-10 01:30,25.7,65
2022-07-10 01:45,25.5,67
2022-07-10 02:00,25.4,68
2022-07-10 02:15,25.2,69
2022-07-10 02:30,25.1,69
2022-07-10 02:45,25.0,70
2022-07-10 03:00,25.0,70
2022-07-10 03:15,24.9,71
2022-07-10 03:30,24.8,71
2022-07-10 03:45,24.9,71
2022-07-10 04:00,27.4,46
2022-07-10 04:15,28.7,42
2022-07-10 04:30,29.3,41
2022-07-10 04:45,29.6,41
2022-07-10 05:00,29.8,40
2022-07-10 05:15,30.0,40
2022-07-10 05:30,30.1,40
2022-07-10 05:45,30.2,40
2022-07-10 06:00,30.3,40
2022-07-10 06:15,30.4,40
2022-07-10 06:30,30.5,40
2022-07-10 06:45,30.6,40
2022-07-10 07:00,30.8,40
2022-07-10 07:15,31.1,41
2022-07-10 07:30,31.7,40
2022-07-10 07:45,32.1,40
2022-07-10 08:00,32.5,40
2022-07-10 08:15,32.9,39
2022-07-10 08:30,33.5,39
2022-07-10 08:45,34.1,39
2022-07-10 09:00,34.8,37
2022-07-10 09:15,35.3,35
2022-07-10 09:30,35.8,34
2022-07-10 09:45,36.3,34
2022-07-10 10:00,36.8,33
2022-07-10 10:15,33.4,37
2022-07-10 10:30,31.5,39
2022-07-10 10:45,30.7,41
2022-07-10 11:00,30.2,40
2022-07-10 11:15,28.6,52
2022-07-10 11:30,27.2,59
2022-07-10 11:45,26.7,61
2022-07-10 12:00,26.3,63
2022-07-10 12:15,26.0,64
2022-07-10 12:30,25.9,64
2022-07-10 12:45,25.8,65
2022-07-10 13:00,25.9,65
2022-07-10 13:15,25.8,66
2022-07-10 13:30,25.8,65
2022-07-10 13:45,25.8,66
2022-07-10 14:00,25.8,65
2022-07-10 14:15,25.8,66
2022-07-10 14:30,25.6,65
2022-07-10 14:45,25.4,66
2022-07-10 15:00,25.1,66
2022-07-10 15:15,24.9,66
2022-07-10 15:30,24.6,68
2022-07-10 15:45,24.4,70
2022-07-10 16:00,24.3,71
2022-07-10 16:15,29.5,52
2022-07-10 16:30,32.5,45
2022-07-10 16:45,31.1,59
2022-07-10 17:00,30.4,62
2022-07-10 17:15,30.2,64
2022-07-10 17:30,30.1,65
2022-07-10 17:45,30.0,67
2022-07-10 18:00,29.9,66
2022-07-10 18:15,29.8,67
2022-07-10 18:30,29.7,68
2022-07-10 18:45,29.6,68
2022-07-10 19:00,29.6,68
2022-07-10 19:15,29.5,69
2022-07-10 19:30,29.4,70
2022-07-10 19:45,29.3,71
2022-07-10 20:00,31.7,51
2022-07-10 20:15,33.1,47
2022-07-10 20:30,33.6,45
2022-07-10 20:45,33.7,45
2022-07-10 21:00,33.9,44
2022-07-10 21:15,33.9,44
2022-07-10 21:30,33.9,44
2022-07-10 21:45,33.8,44
2022-07-10 22:00,33.8,44
2022-07-10 22:15,33.7,44
2022-07-10 22:30,33.6,44
2022-07-10 22:45,33.6,44
2022-07-10 23:00,33.5,45
2022-07-10 23:15,33.4,45
2022-07-10 23:30,33.3,45
2022-07-10 23:45,33.1,45
2022-07-11 00:00,32.9,45
2022-07-11 00:15,32.7,46
2022-07-11 00:30,32.6,46
2022-07-11 00:45,32.5,46
2022-07-11 01:00,32.3,46
2022-07-11 01:15,32.2,46
2022-07-11 01:30,32.2,46
2022-07-11 01:45,32.1,46
2022-07-11 02:00,32.0,47
2022-07-11 02:15,31.9,47
2022-07-11 02:30,31.8,47
2022-07-11 02:45,31.8,47
2022-07-11 03:00,31.8,46
2022-07-11 03:15,31.8,47
2022-07-11 03:30,31.7,46
2022-07-11 03:45,31.6,47
2022-07-11 04:00,31.6,47
2022-07-11 04:15,31.6,47
2022-07-11 04:30,31.5,46
2022-07-11 04:45,31.4,46
2022-07-11 05:00,31.3,45
2022-07-11 05:15,31.1,45
2022-07-11 05:30,31.0,45
2022-07-11 05:45,31.0,45
2022-07-11 06:00,30.9,45
2022-07-11 06:15,30.9,45
2022-07-11 06:30,30.8,45
2022-07-11 06:45,30.8,45
2022-07-11 07:00,30.9,45
2022-07-11 07:15,31.1,45
2022-07-11 07:30,31.5,45
2022-07-11 07:45,32.2,45
2022-07-11 08:00,32.8,45
2022-07-11 08:15,33.4,44
2022-07-11 08:30,34.0,43
2022-07-11 08:45,34.4,42
2022-07-11 09:00,34.8,42
2022-07-11 09:15,35.3,41
2022-07-11 09:30,35.8,40
2022-07-11 09:45,36.1,39
2022-07-11 10:00,34.6,37
2022-07-11 10:15,32.2,43
2022-07-11 10:30,31.1,46
2022-07-11 10:45,30.6,46
2022-07-11 11:00,30.3,46
2022-07-11 11:15,30.3,47
2022-07-11 11:30,30.3,48
2022-07-11 11:45,30.4,48
2022-07-11 12:00,30.4,48
2022-07-11 12:15,30.5,48
2022-07-11 12:30,30.7,47
2022-07-11 12:45,30.7,46
2022-07-11 13:00,30.8,46
2022-07-11 13:15,30.8,46
2022-07-11 13:30,30.9,47
2022-07-11 13:45,30.9,47
2022-07-11 14:00,30.9,47
2022-07-11 14:15,30.8,47
2022-07-11 14:30,30.7,47
2022-07-11 14:45,30.5,47
2022-07-11 15:00,30.2,48
2022-07-11 15:15,29.9,49
2022-07-11 15:30,29.6,49
2022-07-11 15:45,29.3,49
2022-07-11 16:00,29.1,50
2022-07-11 16:15,32.1,47
2022-07-11 16:30,34.3,43
2022-07-11 16:45,35.4,42
2022-07-11 17:00,35.8,41
2022-07-11 17:15,36.1,40
2022-07-11 17:30,36.1,40
2022-07-11 17:45,36.1,41
2022-07-11 18:00,36.2,41
2022-07-11 18:15,36.3,42
2022-07-11 18:30,36.3,42
2022-07-11 18:45,36.2,42
2022-07-11 19:00,36.1,42
2022-07-11 19:15,36.0,42
2022-07-11 19:30,36.0,42
2022-07-11 19:45,35.8,42
2022-07-11 20:00,35.7,42
2022-07-11 20:15,35.6,43
2022-07-11 20:30,35.5,43
2022-07-11 20:45,35.0,44
2022-07-11 21:00,35.0,44
2022-07-11 21:15,35.0,45
2022-07-11 21:30,34.8,45
2022-07-11 21:45,34.6,45
2022-07-11 22:00,34.5,45
2022-07-11 22:15,34.3,46
2022-07-11 22:30,34.3,46
2022-07-11 22:45,34.2,47
2022-07-11 23:00,34.2,47
2022-07-11 23:15,34.0,47
2022-07-11 23:30,34.0,47
2022-07-11 23:45,33.9,47
2022-07-12 00:00,33.8,47
2022-07-12 00:15,33.7,47
2022-07-12 00:30,33.6,47
2022-07-12 00:45,33.5,47
2022-07-12 01:00,33.4,47
2022-07-12 01:15,33.4,47
2022-07-12 01:30,33.3,47
2022-07-12 01:45,33.3,47
2022-07-12 02:00,33.2,47
2022-07-12 02:15,33.1,47
2022-07-12 02:30,33.1,47
2022-07-12 02:45,33.1,47
2022-07-12 03:00,33.1,47
2022-07-12 03:15,33.1,47
2022-07-12 03:30,33.0,47
2022-07-12 03:45,33.0,47
2022-07-12 04:00,33.1,47
2022-07-12 04:15,33.1,47
2022-07-12 04:30,33.0,47
2022-07-12 04:45,33.1,47
2022-07-12 05:00,33.1,47
2022-07-12 05:15,33.1,47
2022-07-12 05:30,33.0,46
2022-07-12 05:45,33.0,46
2022-07-12 06:00,33.0,46
2022-07-12 06:15,33.0,46
2022-07-12 06:30,32.9,46
2022-07-12 06:45,32.9,47
2022-07-12 07:00,33.0,47
2022-07-12 07:15,33.2,47
2022-07-12 07:30,33.5,47
2022-07-12 07:45,34.0,47
2022-07-12 08:00,34.6,46
2022-07-12 08:15,35.1,46
2022-07-12 08:30,35.6,46
2022-07-12 08:45,36.1,45
2022-07-12 09:00,36.7,44
2022-07-12 09:15,37.1,42
2022-07-12 09:30,37.5,40
2022-07-12 09:45,37.9,39
2022-07-12 10:00,38.2,38
2022-07-12 10:15,34.6,36
2022-07-12 10:30,32.8,43
2022-07-12 10:45,32.1,45
2022-07-12 11:00,31.7,46
2022-07-12 11:15,31.5,45
2022-07-12 11:30,31.4,45
2022-07-12 11:45,31.3,45
2022-07-12 12:00,31.3,45
2022-07-12 12:15,31.4,45
2022-07-12 12:30,31.5,44
2022-07-12 12:45,31.5,44
